coin,side,entry_time,exit_time,entry,exit,pnl,reason
SOL,LONG,2026-07-15 18:00:00+00:00,2026-07-15 19:00:00+00:00,77.789,76.93035,-27.717811027300954,SL_FULL
HYPE,LONG,2026-07-16 00:00:00+00:00,2026-07-16 03:00:00+00:00,66.86,66.03152857142857,-27.42106317382092,SL_FULL
NEAR,LONG,2026-07-16 05:00:00+00:00,2026-07-16 08:00:00+00:00,2.0567,2.029687857142857,-27.28417416466,SL_FULL
ETH,LONG,2026-07-16 09:00:00+00:00,2026-07-16 12:00:00+00:00,1886.7,1869.6421428571427,-28.318146309206163,SL_FULL
NEAR,LONG,2026-07-16 14:00:00+00:00,2026-07-16 17:00:00+00:00,2.0744,2.046125,-27.200934951151275,SL_FULL
SUI,SHORT,2026-07-17 04:00:00+00:00,2026-07-17 08:00:00+00:00,0.74388,0.7296349999999999,26.19493972570043,TP2_WIN
SOL,SHORT,2026-07-17 17:00:00+00:00,2026-07-18 16:00:00+00:00,74.913,75.126,-10.249966401767098,TIMEOUT
ETH,LONG,2026-07-19 18:00:00+00:00,2026-07-19 18:00:00+00:00,1867.4,1856.5914285714287,-30.18305649657966,SL_FULL
SOL,LONG,2026-07-19 19:00:00+00:00,2026-07-19 21:00:00+00:00,75.715,75.80585800000001,13.18979110622935,SL_BE
SOL,LONG,2026-07-19 22:00:00+00:00,2026-07-19 22:00:00+00:00,75.738,75.8288856,13.366903585376505,SL_BE
ETH,LONG,2026-07-19 23:00:00+00:00,2026-07-20 00:00:00+00:00,1870.6,1872.84472,13.291558858922413,SL_BE
SUI,LONG,2026-07-20 01:00:00+00:00,2026-07-20 01:00:00+00:00,0.75153,0.7524318360000001,13.853947354720853,SL_BE
NEAR,LONG,2026-07-20 03:00:00+00:00,2026-07-20 05:00:00+00:00,1.9291,1.9052264285714287,-27.424122889798713,SL_FULL
SUI,LONG,2026-07-20 08:00:00+00:00,2026-07-20 08:00:00+00:00,0.74696,0.7390318571428571,-27.826461701213248,SL_FULL
SOL,LONG,2026-07-20 09:00:00+00:00,2026-07-20 13:00:00+00:00,76.097,76.1883164,14.231828523571282,SL_BE
SUI,LONG,2026-07-20 15:00:00+00:00,2026-07-20 15:00:00+00:00,0.75223,0.753132676,14.41827304929885,SL_BE
HYPE,LONG,2026-07-20 16:00:00+00:00,2026-07-21 13:00:00+00:00,62.182,62.25661840000001,14.549602953607677,SL_BE
ETH,LONG,2026-07-22 15:00:00+00:00,2026-07-22 15:00:00+00:00,1933.0,1935.3196000000003,13.798467613804151,SL_BE
SOL,LONG,2026-07-22 19:00:00+00:00,2026-07-23 02:00:00+00:00,77.718,77.81126160000001,14.002255774473495,SL_BE
HYPE,SHORT,2026-07-24 07:00:00+00:00,2026-07-24 14:00:00+00:00,58.706,58.635552800000006,14.663758566944189,SL_BE
HYPE,SHORT,2026-07-25 17:00:00+00:00,2026-07-25 17:00:00+00:00,57.877,58.36496428571429,-28.558238834644435,SL_FULL
SUI,SHORT,2026-07-25 18:00:00+00:00,2026-07-26 04:00:00+00:00,0.71418,0.7186761428571429,-29.76523724965469,SL_FULL
NEAR,LONG,2026-07-27 13:00:00+00:00,2026-07-27 13:00:00+00:00,1.8335,1.8111771428571428,-27.464043742015246,SL_FULL
HYPE,LONG,2026-07-27 14:00:00+00:00,2026-07-27 14:00:00+00:00,59.47,58.85491428571429,-27.90054437310116,SL_FULL
ETH,LONG,2026-07-27 16:00:00+00:00,2026-07-27 16:00:00+00:00,1927.0,1929.3124000000003,14.172930686806867,SL_BE
ETH,LONG,2026-07-27 19:00:00+00:00,2026-07-27 22:00:00+00:00,1938.5,1915.9914285714285,-27.583658650897775,SL_FULL
SOL,SHORT,2026-07-28 17:00:00+00:00,2026-07-28 17:00:00+00:00,74.388,74.2987344,13.736366293243721,SL_BE
SUI,SHORT,2026-07-28 18:00:00+00:00,2026-07-28 21:00:00+00:00,0.68817,0.6944647857142856,-28.279683586503864,SL_FULL
HYPE,SHORT,2026-07-28 22:00:00+00:00,2026-07-28 22:00:00+00:00,55.66,55.593208,14.592664143726234,SL_BE
HYPE,SHORT,2026-07-29 07:00:00+00:00,2026-07-29 08:00:00+00:00,55.373,55.3065524,14.739946998261944,SL_BE
ETH,SHORT,2026-07-29 20:00:00+00:00,2026-07-29 23:00:00+00:00,1887.8,1910.0764285714286,-27.54230519379559,SL_FULL
NEAR,SHORT,2026-07-30 00:00:00+00:00,2026-07-30 09:00:00+00:00,1.6205,1.648542857142857,-26.733581087499697,SL_FULL
NEAR,LONG,2026-07-31 06:00:00+00:00,2026-07-31 10:00:00+00:00,1.6559,1.634542857142857,-27.32599219105188,SL_FULL
HYPE,SHORT,2026-08-02 17:00:00+00:00,2026-08-02 18:00:00+00:00,52.132,52.69276428571428,-27.788953492411913,SL_FULL
ETH,SHORT,2026-08-03 16:00:00+00:00,2026-08-04 12:00:00+00:00,1862.4,1879.5785714285714,-28.25239348683553,SL_FULL
ETH,LONG,2026-08-05 17:00:00+00:00,2026-08-05 17:00:00+00:00,1894.6,1896.87352,13.435103652964715,SL_BE
HYPE,LONG,2026-08-05 21:00:00+00:00,2026-08-06 02:00:00+00:00,57.116,56.28019285714286,-27.050071675893626,SL_FULL
ETH,LONG,2026-08-06 14:00:00+00:00,2026-08-06 16:00:00+00:00,1906.7,1908.9880400000002,13.11501436062412,SL_BE
ETH,LONG,2026-08-07 09:00:00+00:00,2026-08-07 12:00:00+00:00,1909.4,1924.4228571428573,22.393353829242276,TP2_WIN
SUI,LONG,2026-08-09 02:00:00+00:00,2026-08-09 15:00:00+00:00,0.68938,0.7001442857142858,25.59469881834614,TP2_WIN
SOL,LONG,2026-08-10 00:00:00+00:00,2026-08-10 00:00:00+00:00,76.281,76.37253720000001,13.194780985413459,SL_BE
SUI,LONG,2026-08-10 02:00:00+00:00,2026-08-10 16:00:00+00:00,0.69471,0.6868970000000001,-27.667491077840847,SL_FULL
ETH,SHORT,2026-08-11 10:00:00+00:00,2026-08-11 11:00:00+00:00,1884.5,1891.4271428571428,-33.161283265194804,SL_FULL
ETH,SHORT,2026-08-11 12:00:00+00:00,2026-08-11 13:00:00+00:00,1892.1,1889.8294799999999,10.778118911296605,SL_BE
ETH,SHORT,2026-08-12 22:00:00+00:00,2026-08-13 04:00:00+00:00,1877.4,1892.2107142857144,-28.802751047022458,SL_FULL
SUI,SHORT,2026-08-14 18:00:00+00:00,2026-08-15 00:00:00+00:00,0.67793,0.6827548571428572,-29.21519256203345,SL_FULL
SUI,SHORT,2026-08-16 15:00:00+00:00,2026-08-16 20:00:00+00:00,0.67928,0.6745044285714286,21.62465749139079,TP2_WIN
SOL,SHORT,2026-08-17 02:00:00+00:00,2026-08-17 02:00:00+00:00,75.055,75.47322857142858,-30.38372399524266,SL_FULL
SUI,SHORT,2026-08-17 04:00:00+00:00,2026-08-17 23:00:00+00:00,0.67685,0.6760377799999999,13.2508839568702,SL_BE
