coin,side,entry_time,exit_time,entry,exit,pnl,reason
SOL,LONG,2026-07-15 18:00:00+00:00,2026-07-15 19:00:00+00:00,77.789,76.93035,-44.34849764368153,SL_FULL
HYPE,LONG,2026-07-16 00:00:00+00:00,2026-07-16 03:00:00+00:00,66.86,66.03152857142857,-43.87370107811347,SL_FULL
NEAR,LONG,2026-07-16 05:00:00+00:00,2026-07-16 08:00:00+00:00,2.0567,2.029687857142857,-43.654678663456004,SL_FULL
ETH,LONG,2026-07-16 09:00:00+00:00,2026-07-16 12:00:00+00:00,1886.7,1869.6421428571427,-45.30903409472986,SL_FULL
NEAR,LONG,2026-07-16 14:00:00+00:00,2026-07-16 17:00:00+00:00,2.0744,2.046125,-43.52149592184204,SL_FULL
SUI,SHORT,2026-07-17 04:00:00+00:00,2026-07-17 08:00:00+00:00,0.74388,0.7296349999999999,48.06574427663121,TP2_WIN
SOL,SHORT,2026-07-17 17:00:00+00:00,2026-07-18 16:00:00+00:00,74.913,75.126,-16.399946242827358,TIMEOUT
ETH,LONG,2026-07-19 18:00:00+00:00,2026-07-19 18:00:00+00:00,1867.4,1856.5914285714287,-48.29289039452746,SL_FULL
SOL,LONG,2026-07-19 19:00:00+00:00,2026-07-19 21:00:00+00:00,75.715,75.80585800000001,15.074046978547974,SL_BE
SOL,LONG,2026-07-19 22:00:00+00:00,2026-07-19 22:00:00+00:00,75.738,75.8288856,15.276461240430429,SL_BE
ETH,LONG,2026-07-19 23:00:00+00:00,2026-07-20 00:00:00+00:00,1870.6,1872.84472,15.190352981625756,SL_BE
SUI,LONG,2026-07-20 01:00:00+00:00,2026-07-20 01:00:00+00:00,0.75153,0.7524318360000001,15.833082691109661,SL_BE
NEAR,LONG,2026-07-20 03:00:00+00:00,2026-07-20 05:00:00+00:00,1.9291,1.9052264285714287,-43.87859662367794,SL_FULL
SUI,LONG,2026-07-20 08:00:00+00:00,2026-07-20 08:00:00+00:00,0.74696,0.7390318571428571,-44.5223387219412,SL_FULL
SOL,LONG,2026-07-20 09:00:00+00:00,2026-07-20 13:00:00+00:00,76.097,76.1883164,16.264946884081557,SL_BE
SUI,LONG,2026-07-20 15:00:00+00:00,2026-07-20 15:00:00+00:00,0.75223,0.753132676,16.478026342055916,SL_BE
HYPE,LONG,2026-07-20 16:00:00+00:00,2026-07-21 13:00:00+00:00,62.182,62.25661840000001,16.628117661265996,SL_BE
ETH,LONG,2026-07-22 15:00:00+00:00,2026-07-22 15:00:00+00:00,1933.0,1935.3196000000003,15.769677272919147,SL_BE
SOL,LONG,2026-07-22 19:00:00+00:00,2026-07-23 02:00:00+00:00,77.718,77.81126160000001,16.002578027969815,SL_BE
HYPE,SHORT,2026-07-24 07:00:00+00:00,2026-07-24 14:00:00+00:00,58.706,58.635552800000006,16.75858121936477,SL_BE
HYPE,SHORT,2026-07-25 17:00:00+00:00,2026-07-25 17:00:00+00:00,57.877,58.36496428571429,-45.693182135431094,SL_FULL
SUI,SHORT,2026-07-25 18:00:00+00:00,2026-07-26 04:00:00+00:00,0.71418,0.7186761428571429,-47.6243795994475,SL_FULL
NEAR,LONG,2026-07-27 13:00:00+00:00,2026-07-27 13:00:00+00:00,1.8335,1.8111771428571428,-43.9424699872244,SL_FULL
HYPE,LONG,2026-07-27 14:00:00+00:00,2026-07-27 14:00:00+00:00,59.47,58.85491428571429,-44.64087099696185,SL_FULL
ETH,LONG,2026-07-27 16:00:00+00:00,2026-07-27 16:00:00+00:00,1927.0,1929.3124000000003,16.19763507063652,SL_BE
ETH,LONG,2026-07-27 19:00:00+00:00,2026-07-27 22:00:00+00:00,1938.5,1915.9914285714285,-44.13385384143644,SL_FULL
SOL,SHORT,2026-07-28 17:00:00+00:00,2026-07-28 17:00:00+00:00,74.388,74.2987344,15.6987043351358,SL_BE
SUI,SHORT,2026-07-28 18:00:00+00:00,2026-07-28 21:00:00+00:00,0.68817,0.6944647857142856,-45.24749373840619,SL_FULL
HYPE,SHORT,2026-07-28 22:00:00+00:00,2026-07-28 22:00:00+00:00,55.66,55.593208,16.67733044997282,SL_BE
HYPE,SHORT,2026-07-29 07:00:00+00:00,2026-07-29 08:00:00+00:00,55.373,55.3065524,16.845653712299352,SL_BE
ETH,SHORT,2026-07-29 20:00:00+00:00,2026-07-29 23:00:00+00:00,1887.8,1910.0764285714286,-44.067688310072946,SL_FULL
NEAR,SHORT,2026-07-30 00:00:00+00:00,2026-07-30 09:00:00+00:00,1.6205,1.648542857142857,-42.77372973999952,SL_FULL
NEAR,LONG,2026-07-31 06:00:00+00:00,2026-07-31 10:00:00+00:00,1.6559,1.634542857142857,-43.72158750568301,SL_FULL
HYPE,SHORT,2026-08-02 17:00:00+00:00,2026-08-02 18:00:00+00:00,52.132,52.69276428571428,-44.46232558785906,SL_FULL
ETH,SHORT,2026-08-03 16:00:00+00:00,2026-08-04 12:00:00+00:00,1862.4,1879.5785714285714,-45.20382957893684,SL_FULL
ETH,LONG,2026-08-05 17:00:00+00:00,2026-08-05 17:00:00+00:00,1894.6,1896.87352,15.35440417481695,SL_BE
HYPE,LONG,2026-08-05 21:00:00+00:00,2026-08-06 02:00:00+00:00,57.116,56.28019285714286,-43.28011468142981,SL_FULL
ETH,LONG,2026-08-06 14:00:00+00:00,2026-08-06 16:00:00+00:00,1906.7,1908.9880400000002,14.98858784071343,SL_BE
ETH,LONG,2026-08-07 09:00:00+00:00,2026-08-07 12:00:00+00:00,1909.4,1924.4228571428573,41.98319904424806,TP2_WIN
SUI,LONG,2026-08-09 02:00:00+00:00,2026-08-09 15:00:00+00:00,0.68938,0.7001442857142858,47.10535759361282,TP2_WIN
SOL,LONG,2026-08-10 00:00:00+00:00,2026-08-10 00:00:00+00:00,76.281,76.37253720000001,15.079749697615528,SL_BE
SUI,LONG,2026-08-10 02:00:00+00:00,2026-08-10 16:00:00+00:00,0.69471,0.6868970000000001,-44.267985724545355,SL_FULL
ETH,SHORT,2026-08-11 10:00:00+00:00,2026-08-11 11:00:00+00:00,1884.5,1891.4271428571428,-53.0580532243117,SL_FULL
ETH,SHORT,2026-08-11 12:00:00+00:00,2026-08-11 13:00:00+00:00,1892.1,1889.8294799999999,12.317850184338916,SL_BE
