coin,entry_time,exit_time,entry,exit,pnl,reason
DOGE,2026-07-15 20:00:00+00:00,2026-07-16 08:00:00+00:00,0.07379,0.07291937142857143,-44.06819578211901,SL_FULL
SUI,2026-07-16 15:00:00+00:00,2026-07-16 23:00:00+00:00,0.75124,0.7419180714285715,-43.86821140798784,SL_FULL
ETH,2026-07-18 18:00:00+00:00,2026-07-18 18:00:00+00:00,1852.7,1852.7,6.198995293184642,SL_BE
DOGE,2026-07-19 03:00:00+00:00,2026-07-19 03:00:00+00:00,0.072652,0.07233452142857143,-50.98423412717966,SL_FULL
UNI,2026-07-19 04:00:00+00:00,2026-07-19 07:00:00+00:00,3.5641,3.5324449999999996,-45.40436524223743,SL_FULL
DOGE,2026-07-19 09:00:00+00:00,2026-07-19 10:00:00+00:00,0.072651,0.07236435,-52.16539369028349,SL_FULL
DOGE,2026-07-19 11:00:00+00:00,2026-07-19 13:00:00+00:00,0.072553,0.07223097142857143,-50.81427997915393,SL_FULL
XRP,2026-07-19 14:00:00+00:00,2026-07-19 14:00:00+00:00,1.0938,1.0938,7.609113167005281,SL_BE
XRP,2026-07-19 15:00:00+00:00,2026-07-19 17:00:00+00:00,1.0984,1.0929307142857143,-49.63976970869536,SL_FULL
BTC,2026-07-20 01:00:00+00:00,2026-07-20 01:00:00+00:00,64539.0,64539.0,9.129577086621552,SL_BE
BTC,2026-07-20 02:00:00+00:00,2026-07-20 05:00:00+00:00,64604.0,64240.65,-48.53436258390059,SL_FULL
ETH,2026-07-20 12:00:00+00:00,2026-07-20 13:00:00+00:00,1893.2,1871.4342857142858,-44.17504164968991,SL_FULL
HYPE,2026-07-20 16:00:00+00:00,2026-07-21 13:00:00+00:00,62.182,62.182,14.794710964121762,SL_BE
UNI,2026-07-21 16:00:00+00:00,2026-07-22 03:00:00+00:00,3.668,3.668,14.210239225177503,SL_BE
BTC,2026-07-22 00:00:00+00:00,2026-07-22 03:00:00+00:00,66526.0,66155.96428571429,-48.6294796028433,SL_FULL
BTC,2026-07-22 04:00:00+00:00,2026-07-22 06:00:00+00:00,66179.0,65836.54285714286,-49.27578663792683,SL_FULL
ETH,2026-07-22 07:00:00+00:00,2026-07-22 12:00:00+00:00,1917.1,1917.1,11.687815674117378,SL_BE
SOL,2026-07-22 11:00:00+00:00,2026-07-22 12:00:00+00:00,77.635,77.12419285714286,-47.295205900065724,SL_FULL
SUI,2026-07-22 14:00:00+00:00,2026-07-22 18:00:00+00:00,0.7674,0.7674,12.958100057986362,SL_BE
DOGE,2026-07-22 16:00:00+00:00,2026-07-22 19:00:00+00:00,0.073063,0.07250102857142857,-46.240513373089144,SL_FULL
BTC,2026-07-22 20:00:00+00:00,2026-07-23 07:00:00+00:00,65902.0,65459.16428571429,-47.14320193616133,SL_FULL
NEAR,2026-07-26 23:00:00+00:00,2026-07-26 23:00:00+00:00,1.8257,1.8257,11.912275424364305,SL_BE
DOGE,2026-07-26 19:00:00+00:00,2026-07-27 01:00:00+00:00,0.072692,0.072692,13.16985061389088,SL_BE
SUI,2026-07-27 02:00:00+00:00,2026-07-27 07:00:00+00:00,0.71825,0.71825,12.389895642921593,SL_BE
XRP,2026-07-27 09:00:00+00:00,2026-07-27 12:00:00+00:00,1.1056,1.0994435714285713,-48.61997533827314,SL_FULL
XRP,2026-07-27 13:00:00+00:00,2026-07-27 13:00:00+00:00,1.1043,1.1043,10.140264995456137,SL_BE
XRP,2026-07-27 14:00:00+00:00,2026-07-27 14:00:00+00:00,1.1068,1.0999285714285714,-47.73141584118194,SL_FULL
BTC,2026-07-27 17:00:00+00:00,2026-07-27 22:00:00+00:00,64865.0,64396.81428571429,-46.65011692027298,SL_FULL
ETH,2026-07-29 12:00:00+00:00,2026-07-29 14:00:00+00:00,1914.5,1895.6871428571428,-44.88469879852026,SL_FULL
XRP,2026-07-29 18:00:00+00:00,2026-07-29 18:00:00+00:00,1.0797,1.0797,13.005787157464644,SL_BE
SUI,2026-07-29 19:00:00+00:00,2026-07-29 19:00:00+00:00,0.69527,0.6884951428571429,-44.925955919010356,SL_FULL
DOGE,2026-07-30 14:00:00+00:00,2026-07-31 02:00:00+00:00,0.070506,0.06995071428571428,-46.09462014501942,SL_FULL
